title,author,isbn,publicationYear,numberOfCopies
Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,9781939996343,2015,1
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,9781101636459,2013,1
Deadpool Kills the Marvel Universe,Cullen Bunn,9781302368807,2014,4
Antiques Con,Barbara Allan,9781617738760,2015,9
Furies of Calderon,Jim Butcher,9781440631849,2005,1
Battle Sight Zero,Gerald Seymour,9781473663527,2019,8
You'll Never See Daylight Again,Michaella McCollum,9781789460148,2019,6
Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,9780141983776,2017,4
Furies of Calderon,Jim Butcher,9781440631849,2005,5
The Call of Cthulhu,H. P. Lovecraft,9783736805101,2018,5
Batman: Earth One,Geoff Johns,9781401239565,2012,10
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,9780996435420,2013,4
Summary: The Compound Effect,Nine99 Innovation Lab,"Flowing text, Google-generated PDF",2019,9
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,9781632913296,2015,8
Introducing Critical Theory: A Graphic Guide,Stuart Sim,9781840469097,2004,5
The Art of Thinking Clearly,Rolf Dobelli,9780062359803,2014,6
Auberon,James S. A. Corey,9780356504322,2019,4
Find Me: A Novel,André Aciman,9780374722104,2019,1
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,9781429960748,2010,4
The Infinite Game,Simon Sinek,9780735213524,2019,6
